text,label
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
Don't forget the office meeting at 3 PM.,ham
URGENT! Update your ATM card info: http://secure-bank-update.net,spam
Happy Birthday! Have a great day.,ham
Free recharge ₹500: http://fake-offer.in,spam
Your order has been shipped and will arrive soon.,ham
Your parcel is waiting. Pay customs fee: http://fraud-delivery.com,spam
Can you send me the updated file?,ham
Get free iPhone 15 now: http://freeiphone-scam.com,spam
Let's schedule a call later today.,ham
We detected viruses on your device. Install cleaner: http://virus-cleaner.exe,spam
Thanks for your help yesterday!,ham
Click to watch your private video: http://malwarevideo.net,spam
Your payment of ₹1200 was successful.,ham
"Invest ₹200 and earn ₹20,000 daily: http://fake-investment.com",spam
Reminder: Your appointment is booked for Monday.,ham
Your UPI is blocked! Reactivate now: http://upi-warning.in,spam
I will reach home in 20 minutes.,ham
Government subsidy approved — claim now: http://fake-subsidy.gov.in,spam
Please review the document and let me know.,ham
Your PayPal has unusual activity. Reset password: http://paypal-reset.com,spam
Team meeting moved to Friday.,ham
Someone tried to login to your email. Verify: http://email-security.net,spam
Family dinner plan for tonight?,ham
Crypto investment guaranteed 300% return: http://crypto-scam.com,spam
Your parcel will be delivered today.,ham
Download this app to speed up your phone: http://danger-file.exe,spam
"Hey, are we still meeting tomorrow?",ham
"Your account has been suspended, verify now: http://fake-login.com",spam
Please find the attached report for this week.,ham
"Congratulations! You won $10,000. Click here to claim: http://scam-prize.net",spam
